start,stop,hours,trackable,task
2008-10-14 06:00:00,2008-10-14 06:30:56,0.5,MZ,New featured products homepage
2008-10-17 13:35:00,2008-10-17 14:35:00,1.0,MZ,Conference call
2008-10-17 15:45:00,2008-10-17 16:35:00,1.0,CPS,Meeting with Sal
2008-10-20 11:05:00,2008-10-20 12:08:09,1.25,MIM,Meeting w/ Chris and Carlos
2008-10-20 20:15:00,2008-10-20 22:24:06,2.25,PP,Error handling for Paymentech plugin
2008-10-21 16:15:00,2008-10-21 17:08:17,1.0,PP,Shared logins
2008-10-22 11:45:00,2008-10-22 15:00:58,3.25,PP,Plan changes
2008-10-23 07:30:00,2008-10-23 08:13:32,0.75,T26,Sales reporting
2008-10-23 11:30:00,2008-10-23 12:04:01,0.75,MZ,Frontend revs
2008-10-23 15:00:00,2008-10-23 15:35:42,0.75,MZ,Placing some icons
2008-10-27 08:01:00,2008-10-27 08:53:44,1.0,MMC,deploying 2.0
2008-11-05 07:45:00,2008-11-05 08:21:14,0.75,CPS,New corp site
2008-11-06 11:25:00,2008-11-06 11:55:00,0.5,MZ,Jamie call
2008-11-11 10:20:00,2008-11-11 11:47:05,1.5,MZ,Tuesday morning revisions
2008-11-12 19:30:00,2008-11-12 21:31:08,2.25,CPS,Finishing up 2.0
2008-11-17 14:00:00,2008-11-17 16:02:38,2.25,CSfb,People page
2008-12-08 07:00:00,2008-12-08 09:42:08,2.75,CS,Premiums
2008-12-09 11:30:00,2008-12-09 15:40:20,4.25,CS,Premiums
2008-12-10 06:15:00,2008-12-10 07:02:15,1.0,CS,Premiums
2008-12-12 10:45:00,2008-12-12 11:05:00,0.5,CS,Jamie call
2008-12-16 10:30:00,2008-12-16 14:11:44,3.75,4E,Jamie/Bernie call
2008-12-19 07:45:00,2008-12-19 12:37:38,5.0,MMC,Friday revs
2008-12-23 08:30:00,2008-12-23 10:00:00,1.5,CS,"Jamie call, premiums revs"
2008-12-23 12:00:00,2008-12-23 12:59:31,1.0,CS,Premiums revisions
2008-12-23 17:30:00,2008-12-23 20:30:00,3.0,CS,Premiums
2008-12-24 02:00:00,2008-12-24 03:30:00,1.5,CS,Premiums
2008-12-24 13:00:00,2008-12-24 14:30:00,1.5,CS,Premiums
2008-12-26 08:30:00,2008-12-26 11:30:00,3.0,CS,Premiums
